0, 11
1, 8
2, 6
3, 16
4, 6
5, 11
6, 4
7, 18
8, 8
9, 5
10, 12
11, 8
12, 14
13, 10
14, 15
15, 13
16, 19
17, 8
18, 6
19, 13
20, 12
21, 16
22, 5
23, 12
24, 12
25, 8
26, 8
27, 16
28, 6
29, 6
30, 6
31, 9
32, 13
33, 5
34, 12
35, 10
36, 10
37, 14
38, 9
39, 10
40, 11
41, 13
42, 7
43, 9
44, 9
45, 15
46, 9
47, 8
48, 13
49, 7
50, 9
51, 17
52, 11
53, 8
54, 12
55, 8
56, 13
57, 7
58, 10
59, 15
60, 7
61, 6
62, 13
63, 7
64, 12
65, 12
66, 15
67, 15
68, 8
69, 14
70, 7
71, 10
72, 5
73, 10
74, 13
75, 12
76, 10
77, 4
78, 10
79, 6
80, 8
81, 8
82, 20
83, 11
84, 7
85, 11
86, 5
87, 10
88, 9
89, 10
90, 9
91, 6
92, 12
93, 14
94, 8
95, 10
96, 12
97, 9
98, 4
99, 0
