0, 6
1, 0
2, 6
3, 4
4, 3
5, 2
6, 6
7, 5
8, 4
9, 4
10, 9
11, 2
12, 5
13, 4
14, 12
15, 3
16, 8
17, 11
18, 9
19, 9
20, 10
21, 9
22, 7
23, 10
24, 9
25, 15
26, 10
27, 10
28, 11
29, 13
30, 8
31, 7
32, 9
33, 12
34, 16
35, 21
36, 11
37, 14
38, 14
39, 12
40, 18
41, 13
42, 10
43, 10
44, 16
45, 16
46, 13
47, 12
48, 7
49, 12
50, 12
51, 14
52, 12
53, 15
54, 13
55, 17
56, 10
57, 11
58, 9
59, 13
60, 9
61, 13
62, 10
63, 10
64, 7
65, 12
66, 20
67, 10
68, 9
69, 10
70, 8
71, 7
72, 11
73, 13
74, 14
75, 3
76, 12
77, 11
78, 8
79, 7
80, 8
81, 5
82, 5
83, 8
84, 10
85, 8
86, 8
87, 7
88, 9
89, 6
90, 2
91, 7
92, 4
93, 3
94, 5
95, 6
96, 3
97, 4
98, 3
99, 7
