0, 3
1, 2
2, 2
3, 4
4, 2
5, 2
6, 0
7, 2
8, 2
9, 3
10, 1
11, 1
12, 1
13, 2
14, 2
15, 1
16, 1
17, 1
18, 1
19, 0
20, 0
21, 1
22, 0
23, 1
24, 2
25, 2
26, 0
27, 0
28, 1
29, 0
30, 0
31, 0
32, 0
33, 0
34, 0
35, 0
36, 1
37, 0
38, 0
39, 0
40, 0
41, 0
42, 0
43, 0
44, 0
45, 0
46, 0
47, 0
48, 0
49, 0
50, 0
51, 0
52, 1
53, 0
54, 0
55, 0
56, 2
57, 2
58, 7
59, 8
60, 11
61, 20
62, 19
63, 25
64, 41
65, 53
66, 81
67, 83
68, 95
69, 90
70, 84
71, 101
72, 59
73, 64
74, 44
75, 42
76, 22
77, 22
78, 9
79, 4
80, 3
81, 6
82, 1
83, 1
84, 0
85, 0
86, 0
87, 0
88, 0
89, 0
90, 0
91, 0
92, 0
93, 0
94, 0
95, 0
96, 0
97, 0
98, 0
99, 0
